| Entity                                                                                     |   Number of occurrences |
| 0 (NUP100 protein, S cerevisiae)                                                           |                      28 |
| 0 (Oligopeptides)                                                                          |                      28 |
| Repetitive Sequences, Amino Acid                                                           |                      28 |
| Oligopeptides/*metabolism                                                                  |                      28 |
| Antibody Specificity                                                                       |                      28 |
| *pluripotent cells                                                                         |                      27 |
| *telomerase                                                                                |                      27 |
| Telomerase/deficiency/*genetics                                                            |                      27 |
| Primary Cell Culture                                                                       |                      27 |
| Telomere/*metabolism/pathology                                                             |                      27 |
| DNA-Binding Proteins/deficiency/*genetics                                                  |                      27 |
| EC 2.7.7.49 (TERT protein, human)                                                          |                      27 |
| *alternative splicing                                                                      |                      27 |
| *telomeres                                                                                 |                      27 |
| *Telomere Homeostasis                                                                      |                      27 |
| *Enhancer Elements, Genetic                                                                |                      27 |
| Blastocyst/metabolism/pathology                                                            |                      27 |
| Pluripotent Stem Cells/metabolism/pathology                                                |                      27 |
| *hTERT                                                                                     |                      27 |
| Human Embryonic Stem Cells/metabolism/pathology                                            |                      27 |
| DEAD-box RNA Helicases/*chemistry/*metabolism                                              |                      27 |
| Nuclear Pore/metabolism/ultrastructure                                                     |                      27 |
| Cross-Linking Reagents                                                                     |                      27 |
| Ultraviolet Rays                                                                           |                      27 |
| 0 (Cross-Linking Reagents)                                                                 |                      27 |
| Nucleotides/*metabolism                                                                    |                      27 |
| *DEAD-box RNA Helicases/genetics/metabolism                                                |                      27 |
| *Nucleocytoplasmic Transport Proteins/genetics/metabolism                                  |                      27 |
| 0 (Nucleotides)                                                                            |                      27 |
| Adenosine Diphosphate/metabolism                                                           |                      27 |
| 0 (polycystic kidney disease 1 protein)                                                    |                      27 |
| Vesico-Ureteral Reflux/diagnosis/*genetics                                                 |                      27 |
| Genetic Testing/*methods                                                                   |                      27 |
| 0 (polycystic kidney disease 2 protein)                                                    |                      27 |
| TRPP Cation Channels/genetics                                                              |                      27 |
| *genetic mutations                                                                         |                      27 |
| *pre-mRNA splicing                                                                         |                      27 |
| Urogenital Abnormalities/diagnosis/*genetics                                               |                      27 |
| *Haploinsufficiency                                                                        |                      27 |
| *pediatric nephrology                                                                      |                      27 |
| Cakut                                                                                      |                      27 |
| 0 (TRPP Cation Channels)                                                                   |                      27 |
| EC 3.6.1.- (NAM7 protein, S cerevisiae)                                                    |                      27 |
| 0 (Poly(A)-Binding Proteins)                                                               |                      27 |
| Poly(A)-Binding Proteins/genetics/metabolism                                               |                      27 |
| 0 (pab1 protein, S cerevisiae)                                                             |                      27 |
| NF-kappa B/*antagonists & inhibitors                                                       |                      27 |
| 0 (NKRF protein, human)                                                                    |                      27 |
| 0 (NF-kappa B)                                                                             |                      27 |
| Interferon-beta/biosynthesis/*genetics                                                     |                      27 |
| Repressor Proteins/*metabolism                                                             |                      27 |
| 60108-77-2 (involucrin)                                                                    |                      27 |
| Recombinant Fusion Proteins/analysis/genetics                                              |                      27 |
| beta-Galactosidase/genetics                                                                |                      27 |
| EC 3.2.1.23 (beta-Galactosidase)                                                           |                      27 |
| Keratinocytes/*chemistry                                                                   |                      27 |
| 0 (Protein Precursors)                                                                     |                      27 |
| Protein Precursors/genetics                                                                |                      27 |
| 0 (Liposomes)                                                                              |                      27 |
| Liposomes                                                                                  |                      27 |
| Fluorescent Dyes                                                                           |                      27 |
| Base Sequence/genetics                                                                     |                      27 |
| Liver/metabolism/*physiology                                                               |                      27 |
| 0 (Oligonucleotides)                                                                       |                      27 |
| Respirovirus                                                                               |                      27 |
| EC 3.4.23.15 (Renin)                                                                       |                      27 |
| I223NX31W9 (Fluorescein-5-isothiocyanate)                                                  |                      27 |
| 0 (Fluorescent Dyes)                                                                       |                      27 |
| Rats, Wistar                                                                               |                      27 |
| Renin/blood/*genetics/metabolism                                                           |                      27 |
| Oligonucleotides/pharmacokinetics                                                          |                      27 |
| Fluorescein-5-isothiocyanate                                                               |                      27 |
| Nuclear Pore/*metabolism/ultrastructure                                                    |                      26 |
| Up-Regulation/physiology                                                                   |                      26 |
| 4L6452S749 (Inositol)                                                                      |                      26 |
| Inositol/metabolism                                                                        |                      26 |
| Nuclear Pore Complex Proteins/*chemistry                                                   |                      26 |
| Phytic Acid/*chemistry                                                                     |                      26 |
| Saccharomyces cerevisiae Proteins/*chemistry/metabolism                                    |                      26 |
| RNA, Antisense                                                                             |                      26 |
| 0 (RNA, Antisense)                                                                         |                      26 |
| Drosophila Proteins/*metabolism                                                            |                      26 |
| RNA, Small Interfering                                                                     |                      26 |
| EC 2.7.7.- (Hel25E protein, Drosophila)                                                    |                      26 |
| Drosophila melanogaster                                                                    |                      26 |
| Heat-Shock Response                                                                        |                      26 |
| Nuclear Proteins/*genetics                                                                 |                      25 |
| Nuclear Pore/genetics                                                                      |                      25 |
| Active Transport, Cell Nucleus/genetics                                                    |                      25 |
| Cell Nucleus/genetics                                                                      |                      25 |
| Nuclear Pore Complex Proteins/genetics                                                     |                      25 |
| Ribonucleoproteins/genetics                                                                |                      25 |
| RNA-Binding Proteins/*genetics                                                             |                      25 |
| RNA Transport/*genetics                                                                    |                      25 |
| *Nup159                                                                                    |                      25 |
| Magnesium/metabolism                                                                       |                      25 |
| 85287-56-5 (3'-O-(N-methylanthraniloyl) ATP)                                               |                      25 |
| *kinetics                                                                                  |                      25 |
| I38ZP9992A (Magnesium)                                                                     |                      25 |
| ortho-Aminobenzoates/metabolism                                                            |                      25 |
| 0 (ortho-Aminobenzoates)                                                                   |                      25 |
| Adenosine Triphosphate/analogs & derivatives/metabolism                                    |                      25 |
| 85287-55-4 (3'-O-(N-methylanthraniloyl)adenosine 5'-diphosphate)                           |                      25 |
| Adenosine Diphosphate/analogs & derivatives/*metabolism                                    |                      25 |
| Saccharomyces cerevisiae/*genetics/growth & development/*metabolism                        |                      25 |
| Saccharomyces cerevisiae/*genetics/*metabolism                                             |                      25 |
| Transcription Factors/genetics/*metabolism                                                 |                      25 |
| Ribonucleoproteins/*genetics/metabolism                                                    |                      25 |
| RNA Polymerase II/genetics/metabolism                                                      |                      25 |
| Nuclear pore complex                                                                       |                      24 |
| NUP159                                                                                     |                      24 |
| RNA/genetics/metabolism                                                                    |                      24 |
| GLE1                                                                                       |                      24 |
| Gene expression                                                                            |                      24 |
| RNPase                                                                                     |                      24 |
| *inositol hexakisphosphate                                                                 |                      24 |
| *Nup42                                                                                     |                      24 |
| * mRNP remodeling                                                                          |                      24 |
| * mRNA export                                                                              |                      24 |
| Nuclear Pore Complex Proteins/chemistry/*metabolism                                        |                      24 |
| 8J337D1HZY (Cytosine)                                                                      |                      24 |
| EC 2.1.1.37 (DNA (Cytosine-5-)-Methyltransferases)                                         |                      24 |
| Virus Replication/*physiology                                                              |                      24 |
| Genome, Viral                                                                              |                      24 |
| 0 (DNA, Circular)                                                                          |                      24 |
| DNA methylation                                                                            |                      24 |
| covalently closed circular DNA                                                             |                      24 |
| negative regulatory region binding protein                                                 |                      24 |
| DNA (Cytosine-5-)-Methyltransferases                                                       |                      24 |
| Viral Regulatory and Accessory Proteins                                                    |                      24 |
| HBx                                                                                        |                      24 |
| Hepatitis B virus/genetics                                                                 |                      24 |
| DNA, Circular/*metabolism                                                                  |                      24 |
| DNA Methylation/*genetics                                                                  |                      24 |
| Cytosine/metabolism                                                                        |                      24 |
| hepatitis B virus                                                                          |                      24 |
| 0 (hepatitis B virus X protein)                                                            |                      24 |
| Cell Cycle/*physiology                                                                     |                      24 |
| 0 (CASC3 protein, human)                                                                   |                      24 |
| Cell Nucleus/*metabolism/ultrastructure                                                    |                      24 |
| 0 (Neoplasm Proteins)                                                                      |                      24 |
| Neoplasm Proteins/genetics/metabolism                                                      |                      24 |
| Sub-nuclear compartmentalization                                                           |                      24 |
| Long noncoding RNA                                                                         |                      24 |
| Splicing factor                                                                            |                      24 |
| Nuclear domain                                                                             |                      24 |
| Serine-Arginine Splicing Factors/*genetics                                                 |                      24 |
| 147153-65-9 (SRSF2 protein, human)                                                         |                      24 |
| 0 (RNA, Small Nucleolar)                                                                   |                      24 |
| Organelles/*genetics/ultrastructure                                                        |                      24 |
| RNA, Small Nucleolar/genetics                                                              |                      24 |
| Cell Nucleus/*genetics/ultrastructure                                                      |                      24 |
| RNA, Long Noncoding/*genetics                                                              |                      24 |
| NIH 3T3 Cells                                                                              |                      24 |
| Homeostasis                                                                                |                      24 |
| 0 (DDX19 protein, mouse)                                                                   |                      24 |
| 0 (KPNB1 protein, human)                                                                   |                      24 |
| beta Karyopherins/metabolism                                                               |                      24 |
| 0 (MRTFA protein, human)                                                                   |                      24 |
| 0 (Mrtfa protein, mouse)                                                                   |                      24 |
| Protein Isoforms/metabolism                                                                |                      24 |
| Eukaryotic Initiation Factor-3/metabolism                                                  |                      24 |
| Adenoviridae/metabolism                                                                    |                      24 |
| 0 (NXT1 protein, human)                                                                    |                      24 |
| Globins/genetics/metabolism                                                                |                      24 |
| *RNA Splice Sites                                                                          |                      24 |
| *RNA Processing, Post-Transcriptional                                                      |                      24 |
| Carrier Proteins/metabolism                                                                |                      24 |
| 9004-22-2 (Globins)                                                                        |                      24 |
| Adenoviridae Infections/metabolism                                                         |                      24 |
| 0 (RNA Splice Sites)                                                                       |                      24 |
| B-Lymphocytes/drug effects/*physiology                                                     |                      24 |
| *Sulfonamides                                                                              |                      24 |
| Isoquinolines/pharmacology                                                                 |                      24 |
| Palatine Tonsil/immunology                                                                 |                      24 |
| 207137-56-2 (Interleukin-4)                                                                |                      24 |
| Enzyme Inhibitors/pharmacology                                                             |                      24 |
| 0 (Receptors, Interleukin-2)                                                               |                      24 |
| Receptors, Interleukin-2/genetics                                                          |                      24 |
| 1F7A44V6OU (Colforsin)                                                                     |                      24 |
| M876330O56 (N-(2-(4-bromocinnamylamino)ethyl)-5-isoquinolinesulfonamide)                   |                      24 |
| 0 (Sulfonamides)                                                                           |                      24 |
| Interleukin-4/*pharmacology                                                                |                      24 |
| 0 (Enzyme Inhibitors)                                                                      |                      24 |
| 0 (Receptors, Interleukin-4)                                                               |                      24 |
| Colforsin/pharmacology                                                                     |                      24 |
| E0399OZS9N (Cyclic AMP)                                                                    |                      24 |
| Cyclic AMP/*metabolism                                                                     |                      24 |
| Receptors, Interleukin-4/*physiology                                                       |                      24 |
| EC 2.7.11.11 (Cyclic AMP-Dependent Protein Kinases)                                        |                      24 |
| Cyclic AMP-Dependent Protein Kinases/metabolism                                            |                      24 |
| 0 (Isoquinolines)                                                                          |                      24 |
| Gene Expression Regulation/drug effects                                                    |                      24 |
| Zebrafish/abnormalities/embryology/genetics                                                |                      23 |
| Brain/abnormalities/*embryology/*metabolism/pathology                                      |                      23 |
| Head/abnormalities                                                                         |                      23 |
| Minor Histocompatibility Antigens/analysis/*genetics/metabolism                            |                      23 |
| Spine/abnormalities                                                                        |                      23 |
| Genes, Essential/*genetics                                                                 |                      23 |
| Developmental Disabilities/genetics/pathology/physiopathology                              |                      23 |
| DNA-Binding Proteins/analysis/*genetics/metabolism                                         |                      23 |
| Intellectual Disability/*genetics/pathology/physiopathology                                |                      23 |
| Metabolic Diseases/genetics/metabolism                                                     |                      23 |
| Eye Abnormalities/genetics                                                                 |                      23 |
| Haploinsufficiency/genetics                                                                |                      23 |
| Receptors, Ghrelin/genetics/metabolism                                                     |                      23 |
| *Signal Transduction                                                                       |                      23 |
| DNA-Binding Proteins/chemistry/*genetics/metabolism                                        |                      23 |
| Ghrelin/genetics/*metabolism                                                               |                      23 |
| Neurons/*metabolism                                                                        |                      23 |
| Nuclear Proteins/chemistry/*genetics/metabolism                                            |                      23 |
| 0 (Ghrelin)                                                                                |                      23 |
| 0 (Leptin)                                                                                 |                      23 |
| 0 (Receptors, Ghrelin)                                                                     |                      23 |
| Hypothalamus/cytology/*metabolism                                                          |                      23 |
| Mice, Obese                                                                                |                      23 |
| Leptin/genetics/*metabolism                                                                |                      23 |
| EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)                                           |                      23 |
| Protein Isoforms/genetics                                                                  |                      23 |
| Myeloid-Lymphoid Leukemia Protein/*biosynthesis/genetics                                   |                      23 |
| Alternative Splicing/genetics                                                              |                      23 |
| 0 (MEN1 protein, human)                                                                    |                      23 |
| Proto-Oncogene Proteins/*genetics/metabolism                                               |                      23 |
| Methylation                                                                                |                      23 |
| Gene Expression Regulation, Leukemic                                                       |                      23 |
| Histone-Lysine N-Methyltransferase/*biosynthesis/genetics                                  |                      23 |
| Chromatin/genetics                                                                         |                      23 |
| DNA-Binding Proteins/biosynthesis/*genetics                                                |                      23 |
| 149025-06-9 (Myeloid-Lymphoid Leukemia Protein)                                            |                      23 |
| Leukemia, Myeloid, Acute/*genetics/pathology                                               |                      23 |
| 0 (KMT2A protein, human)                                                                   |                      23 |
| Eukaryotic Initiation Factor-4F/genetics/metabolism                                        |                      23 |
| 0 (Eukaryotic Initiation Factor-2)                                                         |                      23 |
| Computer Simulation                                                                        |                      23 |
| Ribosome Subunits, Small, Eukaryotic/genetics/metabolism                                   |                      23 |
| Saccharomyces cerevisiae/genetics/growth & development/metabolism                          |                      23 |
| Gene Duplication                                                                           |                      23 |
| Eukaryotic Initiation Factor-2/genetics/metabolism                                         |                      23 |
| 0 (Eukaryotic Initiation Factor-4F)                                                        |                      23 |
| RNA, Transfer/genetics/metabolism                                                          |                      23 |
| EC 2.1.2.- (Hydroxymethyl and Formyl Transferases)                                         |                      23 |
| Hydroxymethyl and Formyl Transferases/*genetics                                            |                      23 |
| Mice, Inbred Strains                                                                       |                      23 |
| Phosphoribosylglycinamide Formyltransferase                                                |                      23 |
| DNA/chemistry/genetics                                                                     |                      23 |
| EC 2.1.2.2 (Phosphoribosylglycinamide Formyltransferase)                                   |                      23 |
| 0 (AFM protein, human)                                                                     |                      23 |
| Meiosis/*genetics                                                                          |                      23 |
| Serum Albumin, Human                                                                       |                      23 |
| 0 (Genetic Markers)                                                                        |                      23 |
| ZIF514RVZR (Serum Albumin, Human)                                                          |                      23 |
| Albumins/*genetics                                                                         |                      23 |
| Vitamin D-Binding Protein/*genetics                                                        |                      23 |
| Multigene Family/*genetics                                                                 |                      23 |
| 0 (Serum Albumin)                                                                          |                      23 |
| *Glycoproteins                                                                             |                      23 |
| Physical Chromosome Mapping/*methods                                                       |                      23 |
| alpha-Fetoproteins/genetics                                                                |                      23 |
| Transcription, Genetic/genetics                                                            |                      23 |
| *Carrier Proteins                                                                          |                      23 |
| Genetic Markers/genetics                                                                   |                      23 |
| 0 (Albumins)                                                                               |                      23 |
| Serum Albumin/genetics                                                                     |                      23 |
| 0 (Glycoproteins)                                                                          |                      23 |
| Chromosomes, Human, Pair 4/*genetics                                                       |                      23 |
| *Glut1                                                                                     |                      22 |
| 0 (Glucose Transporter Type 1)                                                             |                      22 |
| *epigenetics                                                                               |                      22 |
| Enhancer Elements, Genetic/genetics                                                        |                      22 |
| Glucose Transporter Type 1/genetics/*metabolism                                            |                      22 |
| Human Embryonic Stem Cells/cytology/*metabolism                                            |                      22 |
| *metabolism                                                                                |                      22 |
| *pluripotency factors                                                                      |                      22 |
| *enhancer                                                                                  |                      22 |
| IY9XDZ35W2 (Glucose)                                                                       |                      22 |
| 0 (SLC2A1 protein, human)                                                                  |                      22 |
| *promoter                                                                                  |                      22 |
| *chromosome interaction                                                                    |                      22 |
| Minor Histocompatibility Antigens/*physiology                                              |                      22 |
| *human embryonic stem cell                                                                 |                      22 |
| Glycolysis                                                                                 |                      22 |
| Glucose/metabolism                                                                         |                      22 |
| cytoplasmic probing                                                                        |                      22 |
| Salivary Glands/cytology                                                                   |                      22 |
| mRNA-export                                                                                |                      22 |
| nuclear pore complex nuclear retention                                                     |                      22 |
| mRNA labelling                                                                             |                      22 |
| nuclear probing                                                                            |                      22 |
| Heterogeneous-Nuclear Ribonucleoproteins/*metabolism                                       |                      22 |
| nucleocytoplasmic trafficking                                                              |                      22 |
| Chironomidae/metabolism                                                                    |                      22 |
| light sheet microscope                                                                     |                      22 |
| Saccharomyces cerevisiae/*genetics                                                         |                      22 |
| 0 (NAB3 protein, S cerevisiae)                                                             |                      22 |
| Magnetic Resonance Spectroscopy                                                            |                      22 |
| RNA-Binding Proteins/genetics                                                              |                      22 |
| Carrier Proteins/chemistry/*genetics/isolation & purification/metabolism                   |                      22 |
| Saccharomyces cerevisiae Proteins/chemistry/*genetics/isolation &  purification/metabolism |                      22 |
| Peptide Chain Termination, Translational/*physiology                                       |                      22 |
| Peptide Elongation Factor 2/metabolism                                                     |                      22 |
| 0 (Peptide Elongation Factor 1)                                                            |                      22 |
| Peptide Elongation Factor 1/metabolism                                                     |                      22 |
| 0 (Peptide Elongation Factor 2)                                                            |                      22 |
| 0 (tRNA, peptidyl-)                                                                        |                      22 |
| Ribosomes/*metabolism                                                                      |                      22 |
| RNA, Transfer, Amino Acyl/metabolism                                                       |                      22 |
| Peptide Chain Elongation, Translational/*physiology                                        |                      22 |
| 0 (RNA, Transfer, Amino Acyl)                                                              |                      22 |
| Nucleocytoplasmic Transport Proteins/genetics/*physiology                                  |                      22 |
| RNA-Binding Proteins/*physiology                                                           |                      22 |
| Nuclear Proteins/*physiology                                                               |                      22 |
| RNA Helicases/genetics/*physiology                                                         |                      22 |
| Saccharomyces cerevisiae Proteins/genetics/*physiology                                     |                      22 |
| Nuclear Proteins/antagonists & inhibitors/chemistry/*physiology                            |                      22 |
| Tropomyosin/genetics                                                                       |                      22 |
| Spindle Apparatus/ultrastructure                                                           |                      22 |
| Metaphase                                                                                  |                      22 |
| RNA-Binding Proteins/antagonists & inhibitors/chemistry/*physiology                        |                      22 |
| 0 (Tropomyosin)                                                                            |                      22 |
| DNA-Binding Proteins/antagonists & inhibitors/chemistry/*physiology                        |                      22 |
| Chromosomes, Human, Pair 8/genetics                                                        |                      22 |
| 0 (Oncogene Proteins, Fusion)                                                              |                      22 |
| 0 (AML1-ETO fusion protein, human)                                                         |                      22 |
| RUNX1 Translocation Partner 1 Protein                                                      |                      22 |
| Oncogene Proteins, Fusion/*chemistry/genetics/metabolism                                   |                      22 |
| 0 (RUNX1 Translocation Partner 1 Protein)                                                  |                      22 |
| DNA-Binding Proteins/analysis/genetics/*metabolism                                         |                      22 |
| Core Binding Factor Alpha 2 Subunit/*chemistry/genetics/metabolism                         |                      22 |
| Leukemia, Myeloid, Acute/genetics/*metabolism                                              |                      22 |
| *Protein Interaction Domains and Motifs                                                    |                      22 |
| Multiprotein Complexes/*chemistry                                                          |                      22 |
| 0 (Multiprotein Complexes)                                                                 |                      22 |
| Carrier Proteins/*chemistry                                                                |                      22 |
| EC 5.2.1.8 (Peptidylprolyl Isomerase)                                                      |                      22 |
| Peptidylprolyl Isomerase                                                                   |                      22 |
| Escherichia coli                                                                           |                      22 |
| Eukaryotic Initiation Factor-4A/*chemistry                                                 |                      22 |
| 0 (CWC22 protein, human)                                                                   |                      22 |
| DEAD-box RNA Helicases/*chemistry                                                          |                      22 |
| *Models, Molecular                                                                         |                      22 |
| RNA-Binding Proteins                                                                       |                      22 |
| Spain                                                                                      |                      22 |
| translation                                                                                |                      21 |
| 0 (Codon, Nonsense)                                                                        |                      21 |
| mRNA degradation                                                                           |                      21 |
| mRNA quality control                                                                       |                      21 |
| Nonsense Mediated mRNA Decay/*genetics                                                     |                      21 |
| DEAD-box RNA Helicases/*genetics/metabolism                                                |                      21 |
| Rat8                                                                                       |                      21 |
| translation termination                                                                    |                      21 |
| Codon, Nonsense/*genetics                                                                  |                      21 |
| Peptide Chain Termination, Translational/*genetics                                         |                      21 |
| Nucleocytoplasmic Transport Proteins/*genetics/metabolism                                  |                      21 |
| 0 (Mutant Proteins)                                                                        |                      21 |
| Mutant Proteins/genetics/metabolism                                                        |                      21 |
| *S. cerevisiae                                                                             |                      21 |
| RNA, Transfer/*metabolism                                                                  |                      21 |
| *chromosomes                                                                               |                      21 |
| DNA Mutational Analysis                                                                    |                      21 |
| *RNA export                                                                                |                      21 |
| Protein Biosynthesis/genetics                                                              |                      21 |
| Ribosomes/genetics                                                                         |                      21 |
| Guanosine Triphosphate/genetics                                                            |                      21 |
| RNA, Transfer/genetics                                                                     |                      21 |
| Peptide Termination Factors/*genetics                                                      |                      21 |
| Saccharomyces cerevisiae/cytology/genetics/*metabolism                                     |                      21 |
| Ribosome Subunits/metabolism                                                               |                      21 |
| Open Reading Frames/*genetics                                                              |                      21 |
| Expressed Sequence Tags                                                                    |                      21 |
| Down Syndrome/genetics                                                                     |                      21 |
| DNA, Complementary/chemistry/genetics/*isolation & purification                            |                      21 |
| Internet                                                                                   |                      21 |
