| Entity                                                                                                 |   Number of occurrences |
| idiopathic venous thromboembolism                                                                      |                      23 |
| thrombophilic syndrome                                                                                 |                      23 |
| va and viiia                                                                                           |                      23 |
| iiase                                                                                                  |                      23 |
| ixa                                                                                                    |                      23 |
| platelet-associated factor ix and x                                                                    |                      23 |
| factors v, viii, ix, x                                                                                 |                      23 |
| snm1b                                                                                                  |                      23 |
| tumour necrosis factor alpha                                                                           |                      23 |
| interleukin 1-beta                                                                                     |                      23 |
| procarboxypeptidase-b                                                                                  |                      23 |
| factors viii, ix, x, or xi                                                                             |                      23 |
| [cpu] carboxypeptidase-r                                                                               |                      23 |
| carboxypeptidase-u                                                                                     |                      23 |
| deficient in factors viii, ix, x, or xi                                                                |                      23 |
| plasma carboxypeptidase-u                                                                              |                      23 |
| anti-cpu antibodies                                                                                    |                      23 |
| tauopathies                                                                                            |                      23 |
| ftd                                                                                                    |                      23 |
| tau protein fragments                                                                                  |                      23 |
| circular mapt exon 12   10 backsplice                                                                  |                      23 |
| frontotemporal dementia                                                                                |                      23 |
| frontotemporal lobar degeneration                                                                      |                      23 |
| mapt circular rnas                                                                                     |                      23 |
| mapt                                                                                                   |                      23 |
| clk2                                                                                                   |                      23 |
| protein phosphatase 1                                                                                  |                      23 |
| taupathies                                                                                             |                      23 |
| ftld                                                                                                   |                      23 |
| mapt gene                                                                                              |                      23 |
| human mapt locus                                                                                       |                      23 |
| tau                                                                                                    |                      23 |
| nuclear inhibitor of pp1                                                                               |                      23 |
| mapt locus                                                                                             |                      23 |
| microtubule-associated protein tau                                                                     |                      23 |
| neurodegenerative conditions                                                                           |                      23 |
| nipp1                                                                                                  |                      23 |
| dbok                                                                                                   |                      23 |
| drosophila cell death activators reaper                                                                |                      23 |
| debcl                                                                                                  |                      23 |
| diap1 bir2                                                                                             |                      23 |
| dbruce                                                                                                 |                      23 |
| dbruce bir domain                                                                                      |                      23 |
| proapoptotic bcl-2 family                                                                              |                      23 |
| drosophila bruce                                                                                       |                      23 |
| death caspase dronc                                                                                    |                      23 |
| dborg-1                                                                                                |                      23 |
| grim                                                                                                   |                      23 |
| drob-1                                                                                                 |                      23 |
| e2 domain                                                                                              |                      23 |
| rpr                                                                                                    |                      23 |
| c-terminal ubiquitin conjugation domain                                                                |                      23 |
| head involution defective                                                                              |                      23 |
| stage i nsclc                                                                                          |                      23 |
| opn                                                                                                    |                      23 |
| cyfra 21-1                                                                                             |                      23 |
| kidney transplantation                                                                                 |                      23 |
| renal transplantation                                                                                  |                      23 |
| il6 c                                                                                                  |                      23 |
| rejection episodes                                                                                     |                      23 |
| renal transplant                                                                                       |                      23 |
| w380g                                                                                                  |                      23 |
| f5r2                                                                                                   |                      23 |
| coagulation and endothelial inflammation                                                               |                      23 |
| graft loss                                                                                             |                      23 |
| il10 a                                                                                                 |                      23 |
| tnf g                                                                                                  |                      23 |
| caspase-3/7                                                                                            |                      23 |
| stat5a                                                                                                 |                      23 |
| dad1                                                                                                   |                      23 |
| ascaris lumbricoides var                                                                               |                      23 |
| fiia/tf                                                                                                |                      23 |
| exo                                                                                                    |                      23 |
| acap6                                                                                                  |                      23 |
| recombinant acap members                                                                               |                      23 |
| acapc2                                                                                                 |                      23 |
| small protein serine protease                                                                          |                      23 |
| caninum anticoagulant protein                                                                          |                      23 |
| acaps                                                                                                  |                      23 |
| acap5                                                                                                  |                      23 |
| acap                                                                                                   |                      23 |
| agt                                                                                                    |                      23 |
| npy gene                                                                                               |                      23 |
| npy                                                                                                    |                      23 |
| agtr1                                                                                                  |                      23 |
| c4112t                                                                                                 |                      23 |
| ischemic strokes                                                                                       |                      23 |
| f13b                                                                                                   |                      23 |
| nppa                                                                                                   |                      23 |
| a6411c                                                                                                 |                      23 |
| neuropeptide y gene                                                                                    |                      23 |
| srebf2                                                                                                 |                      23 |
| ptgs2                                                                                                  |                      23 |
| distintegrin metalloproteinases                                                                        |                      23 |
| metzincin                                                                                              |                      23 |
| degradative diseases                                                                                   |                      23 |
| thrombospondin-2                                                                                       |                      23 |
| pcpe                                                                                                   |                      23 |
| netrins                                                                                                |                      23 |
| reck                                                                                                   |                      23 |
| astacins                                                                                               |                      23 |
| adams                                                                                                  |                      23 |
| procollagen c-terminal proteinase enhancer                                                             |                      23 |
| akr1c1                                                                                                 |                      23 |
| abca13                                                                                                 |                      23 |
| polh                                                                                                   |                      23 |
| ovarian serous carcinoma effusions                                                                     |                      23 |
| tbrkb                                                                                                  |                      23 |
| abcb10                                                                                                 |                      23 |
| ciapin1                                                                                                |                      23 |
| metastatic ovarian serous carcinoma                                                                    |                      23 |
| carboplatin                                                                                            |                      23 |
| abca13 mrna                                                                                            |                      23 |
| xpa                                                                                                    |                      23 |
| advanced-stage serous ovarian carcinoma                                                                |                      23 |
| polh mrna                                                                                              |                      23 |
| abca4                                                                                                  |                      23 |
| metastatic serous carcinoma                                                                            |                      23 |
| mutyh                                                                                                  |                      23 |
| serous carcinoma                                                                                       |                      23 |
| src                                                                                                    |                      23 |
| abca4 mrna                                                                                             |                      23 |
| ciapin1 mrna                                                                                           |                      23 |
| sox17                                                                                                  |                      23 |
| dach1                                                                                                  |                      23 |
| znf382                                                                                                 |                      23 |
| sfrp2                                                                                                  |                      23 |
| hin1                                                                                                   |                      23 |
| esophageal squamous carcinoma                                                                          |                      23 |
| chfr                                                                                                   |                      23 |
| taxanes                                                                                                |                      23 |
| lesions of the esophagus                                                                               |                      23 |
| um                                                                                                     |                      23 |
| vcan                                                                                                   |                      23 |
| itih2                                                                                                  |                      23 |
| lung and renal cell carcinoma                                                                          |                      23 |
| gse39717                                                                                               |                      23 |
| cdh2                                                                                                   |                      23 |
| pi3k-akt signaling pathway                                                                             |                      23 |
| metastatic uveal melanoma                                                                              |                      23 |
| hp                                                                                                     |                      23 |
| metastatic um                                                                                          |                      23 |
| dhf                                                                                                    |                      23 |
| febrile illness                                                                                        |                      23 |
| dengue fever                                                                                           |                      23 |
| dv                                                                                                     |                      23 |
| dengue hemorrhagic                                                                                     |                      23 |
| dss                                                                                                    |                      23 |
| dengue virus type 2                                                                                    |                      23 |
| envelope glycoprotein domain iii of dengue virus type 2                                                |                      23 |
| abnormalities of the coagulation and fibrinolysis systems                                              |                      23 |
| eiii                                                                                                   |                      23 |
| dengue shock syndrome                                                                                  |                      23 |
| fever                                                                                                  |                      23 |
| dv infections                                                                                          |                      23 |
| envelope glycoprotein of dv                                                                            |                      23 |
| 461 stop                                                                                               |                      23 |
| deficiencies in the coagulation pathway                                                                |                      23 |
| recombinant (r)fx                                                                                      |                      23 |
| 461gln                                                                                                 |                      23 |
| p.trp461ter                                                                                            |                      23 |
| p.leu251pro                                                                                            |                      23 |
| c.752t>c                                                                                               |                      23 |
| 251pro                                                                                                 |                      23 |
| 461tyr                                                                                                 |                      23 |
| c.1382g>a                                                                                              |                      23 |
| rfx-251pro                                                                                             |                      23 |
| rfx-251pro variant                                                                                     |                      23 |
| x-linked haemophilias                                                                                  |                      23 |
| crisps                                                                                                 |                      23 |
| shk toxin-containing proteins                                                                          |                      23 |
| colubraria reticulata                                                                                  |                      23 |
| wasp antigen-5; 3)                                                                                     |                      23 |
| astacin metalloproteases                                                                               |                      23 |
| shkt                                                                                                   |                      23 |
| peptidases s1                                                                                          |                      23 |
| enpp5                                                                                                  |                      23 |
| ectonucleotide                                                                                         |                      23 |
| astacin                                                                                                |                      23 |
| ectonucleotide pyrophosphatase/phosphodiesterase family member 5                                       |                      23 |
| vwfa                                                                                                   |                      23 |
| colubraria                                                                                             |                      23 |
| porins                                                                                                 |                      23 |
| anti-factor viii                                                                                       |                      23 |
| fix-v181t                                                                                              |                      23 |
| anti-fviii                                                                                             |                      23 |
| fviii-neutralizing antibody                                                                            |                      23 |
| v181t                                                                                                  |                      23 |
| refix                                                                                                  |                      23 |
| cdca2                                                                                                  |                      23 |
| jmjd2a                                                                                                 |                      23 |
| il6ralpha                                                                                              |                      23 |
| dapk3                                                                                                  |                      23 |
| lysine trimethyl-specific histone demethylase                                                          |                      23 |
| crebbp                                                                                                 |                      23 |
| ccnd2                                                                                                  |                      23 |
| p53(-/-)                                                                                               |                      23 |
| jmjd2b                                                                                                 |                      23 |
| cdc5                                                                                                   |                      23 |
| pifithrin-alpha                                                                                        |                      23 |
| pft-alpha                                                                                              |                      23 |
| rest                                                                                                   |                      23 |
| timp2                                                                                                  |                      23 |
| malformation of the spine, brain, and eyes                                                             |                      22 |
| id syndrome                                                                                            |                      22 |
| pfkl                                                                                                   |                      22 |
| dd                                                                                                     |                      22 |
| psmd3                                                                                                  |                      22 |
| idh2                                                                                                   |                      22 |
| pnkp                                                                                                   |                      22 |
| tubg1                                                                                                  |                      22 |
| acy1                                                                                                   |                      22 |
| pck2                                                                                                   |                      22 |
| wdr62                                                                                                  |                      22 |
| flna                                                                                                   |                      22 |
| intellectual-disability syndrome                                                                       |                      22 |
| glioblastoma multiforme                                                                                |                      22 |
| mll                                                                                                    |                      22 |
| rat8-2 allele                                                                                          |                      22 |
| levetiracetam                                                                                          |                      22 |
| acetate                                                                                                |                      22 |
| gle1-mrna                                                                                              |                      22 |
| inositol-1,3,4,5,6-pentakisphosphate                                                                   |                      22 |
| gle1-2                                                                                                 |                      22 |
| ipk2                                                                                                   |                      22 |
| nup116deltaipk1delta                                                                                   |                      22 |
| gle2                                                                                                   |                      22 |
| mss4                                                                                                   |                      22 |
| phosphatidylinositol 4,5-bisphosphate                                                                  |                      22 |
| ipk1-4                                                                                                 |                      22 |
| phe-gly                                                                                                |                      22 |
| inositides                                                                                             |                      22 |
| nup42deltaipk1delta double mutants                                                                     |                      22 |
| inositol 1,3,4,5,6-pentakisphosphate                                                                   |                      22 |
| inositol-1,3,4,5,6-pentakisphosphate 2-kinase                                                          |                      22 |
| mouse mammary tumor virus long terminal repeat                                                         |                      22 |
| mammary tumor                                                                                          |                      22 |
| mg1113                                                                                                 |                      22 |
| trimegestone                                                                                           |                      22 |
| dsp                                                                                                    |                      22 |
| norethindrone acetate                                                                                  |                      22 |
| tmg                                                                                                    |                      22 |
| ici-182,780                                                                                            |                      22 |
| 17alpha-ethyinylestradiol                                                                              |                      22 |
| lovastatin                                                                                             |                      22 |
| proliferative glomerulonephritis                                                                       |                      22 |
| cdk4                                                                                                   |                      22 |
| sarcoidosis                                                                                            |                      22 |
| la                                                                                                     |                      22 |
| rviia                                                                                                  |                      22 |
| type ii diabetes mellitus                                                                              |                      22 |
| normolipidemic diabetic                                                                                |                      22 |
| plasma tissue factor (tf)-activated factor vii                                                         |                      22 |
| noninsulin-dependent diabetes mellitus                                                                 |                      22 |
| type ii diabetic                                                                                       |                      22 |
| haemophiliacs                                                                                          |                      22 |
| endogenous tissue factor pathway inhibitor                                                             |                      22 |
| at deficiency                                                                                          |                      22 |
| uric acid                                                                                              |                      22 |
| lipoprotein-(a)                                                                                        |                      22 |
| immunoglobulin a                                                                                       |                      22 |
| serum amyloid a protein                                                                                |                      22 |
| apo a-i                                                                                                |                      22 |
| anti-chlamydia pneumoniae immunoglobulin g                                                             |                      22 |
| coronary artery stenosis                                                                               |                      22 |
| apolipoproteins (apo) a-i,                                                                             |                      22 |
| cholesteryl ester transfer protein                                                                     |                      22 |
| pulmonary fibrosis                                                                                     |                      22 |
| single vessel disease                                                                                  |                      22 |
| tbars                                                                                                  |                      22 |
| double vessel disease                                                                                  |                      22 |
| serum lp(a)                                                                                            |                      22 |
| triple vessel disease                                                                                  |                      22 |
| lp(a                                                                                                   |                      22 |
| oxidized low-density lipoprotein (ldl) antibody                                                        |                      22 |
| ldl antibody                                                                                           |                      22 |
| olab                                                                                                   |                      22 |
| ovarian tumour                                                                                         |                      22 |
| benign tumours                                                                                         |                      22 |
| endometroid carcinoma                                                                                  |                      22 |
| clear cell carcinoma                                                                                   |                      22 |
| endometroid cancer                                                                                     |                      22 |
| at3                                                                                                    |                      22 |
| mouse tfpigamma exon                                                                                   |                      22 |
| tfpi isoforms alpha and beta                                                                           |                      22 |
| wt fviia                                                                                               |                      22 |
| fviia(q)                                                                                               |                      22 |
| dvq                                                                                                    |                      22 |
| fviia variants                                                                                         |                      22 |
| anti-beta2-glycoprotein-1                                                                              |                      22 |
| beta2gp1                                                                                               |                      22 |
| anti-cardiolipin antibodies                                                                            |                      22 |
| anti-prothrombin antibodies                                                                            |                      22 |
| antiphospholipid (apl) antibodies                                                                      |                      22 |
| gamma-carboxyglutamate                                                                                 |                      22 |
| lys241                                                                                                 |                      22 |
| arg237                                                                                                 |                      22 |
| bovine gamma-carboxyglutamate (gla)                                                                    |                      22 |
| lys231                                                                                                 |                      22 |
| congenital hemophilia a                                                                                |                      22 |
| acquired hemophilia                                                                                    |                      22 |
| asphyxia                                                                                               |                      22 |
| hane                                                                                                   |                      22 |
| mof                                                                                                    |                      22 |
| c1-                                                                                                    |                      22 |
| inh                                                                                                    |                      22 |
| hereditary angioneurotic edema                                                                         |                      22 |
| edema of the larynx and pharynx                                                                        |                      22 |
| k192q                                                                                                  |                      22 |
| plasma serine protease factor viia                                                                     |                      22 |
| 192q                                                                                                   |                      22 |
| fviik192e                                                                                              |                      22 |
| fviiak192e                                                                                             |                      22 |
| fviik 192q                                                                                             |                      22 |
| wild-type fviia                                                                                        |                      22 |
| e192                                                                                                   |                      22 |
| fviiak192q                                                                                             |                      22 |
| k192e                                                                                                  |                      22 |
| pro-opiomelanocortin                                                                                   |                      22 |
| galnac-transferase                                                                                     |                      22 |
| thyrotropin                                                                                            |                      22 |
| pro-xaa-arg                                                                                            |                      22 |
| lutropin                                                                                               |                      22 |
| pro-phe-lys                                                                                            |                      22 |
| galnac                                                                                                 |                      22 |
| galnac beta 1,4glcnac beta 1, 2man alpha-4-sulfotransferase                                            |                      22 |
| tripeptide                                                                                             |                      22 |
| sulfated asn                                                                                           |                      22 |
| so4-4galnac beta 1, 4glcnac                                                                            |                      22 |
| galnac- and sulfotransferase                                                                           |                      22 |
| so4-4galnac beta 1, 4glcnac beta 1                                                                     |                      22 |
| qa/kyn                                                                                                 |                      22 |
| anthranilic                                                                                            |                      22 |
| prothrombin fragments 1                                                                                |                      22 |
| aa/kyn                                                                                                 |                      22 |
| uraemic                                                                                                |                      22 |
| qa                                                                                                     |                      22 |
| primary hyperparathyroidism                                                                            |                      22 |
| hyperparathyroidism                                                                                    |                      22 |
