Disease rank from son to all disease using shortest_path
| Entity                                                                                    |        Rank |
| 21-hydroxylase deficiency                                                                 | 0.0781516   |
| acne                                                                                      | 0.0781516   |
| nyha functional capacity iii or iv                                                        | 0.0781516   |
| uncomplicated cardiac disease                                                             | 0.0781516   |
| valve disease                                                                             | 0.0781516   |
| reproductive disorder                                                                     | 0.0781516   |
| reproductive disorders                                                                    | 0.0781516   |
| ovarian hormone deficiency                                                                | 0.0781516   |
| breast or ovarian cancer                                                                  | 0.0781516   |
| natural                                                                                   | 0.0781516   |
| atherothrombotic disease                                                                  | 0.0781516   |
| disorder of fetal overgrowth                                                              | 0.0781516   |
| degenerative joint disease                                                                | 0.0781516   |
| erythematous macular rash                                                                 | 0.0781516   |
| spinal deformities                                                                        | 0.0781023   |
| pulmonary adenoma                                                                         | 0.0780569   |
| premature coronary heart disease                                                          | 0.0780196   |
| conduction abnormalities                                                                  | 0.0780129   |
| oligodendroglioma (og)                                                                    | 0.0779278   |
| richter's syndrome                                                                        | 0.0778585   |
| lymphocytosis                                                                             | 0.0778585   |
| acute conjunctivitis                                                                      | 0.0778585   |
| t(14;18) lymphoma                                                                         | 0.0778585   |
| contact lens-associated keratitis                                                         | 0.0778563   |
| acanthamoeba                                                                              | 0.0778563   |
| extracerebral acanthamebiasis                                                             | 0.0778563   |
| suppurative inflammation of the subcutis                                                  | 0.0778563   |
| acanthamoeba infection                                                                    | 0.0778563   |
| amebic cyst                                                                               | 0.0778563   |
| amebic cysts                                                                              | 0.0778563   |
| pernicious fungal disease                                                                 | 0.0778563   |
| pcm                                                                                       | 0.0778563   |
| i-rds                                                                                     | 0.0778563   |
| abnormal gait and joint contractures                                                      | 0.0778563   |
| haploinsufficiency of mustrd                                                              | 0.0778563   |
| mlh                                                                                       | 0.0778388   |
| malignant degeneration                                                                    | 0.0777921   |
| straussler-scheinker syndrome                                                             | 0.077767    |
| gerstmann-                                                                                | 0.077767    |
| plaques                                                                                   | 0.077767    |
| cerebellar amyloid angiopathy                                                             | 0.077767    |
| subacute transmissible spongiform encephalopathies                                        | 0.077767    |
| ohda                                                                                      | 0.0777596   |
| ho                                                                                        | 0.0777596   |
| xlmr disorders                                                                            | 0.0776733   |
| xlmr condition                                                                            | 0.0776733   |
| deviant behaviour                                                                         | 0.0776733   |
| hepatitis b virus surface antigenemia                                                     | 0.0776616   |
| malarial                                                                                  | 0.0776144   |
| spontaneous abortion                                                                      | 0.0775978   |
| abortion                                                                                  | 0.0775978   |
| spg11-linked hereditary spastic paraplegia                                                | 0.0775711   |
| inherited motor neuron diseases                                                           | 0.0775711   |
| axonal pathologies                                                                        | 0.0775711   |
| autosomal-recessive hereditary spastic paraplegia                                         | 0.0775711   |
| motor cortex dysfunction                                                                  | 0.0775711   |
| 5th finger clinodactyly                                                                   | 0.0775711   |
| blt                                                                                       | 0.0775711   |
| autosomal recessive disease chediak-higashi syndrome                                      | 0.0775711   |
| autoimmune encephalitis                                                                   | 0.0775711   |
| scaliness and                                                                             | 0.0775711   |
| lymphoid and hematopoietic dysfunction                                                    | 0.0775711   |
| crusting of the eyelids, ears, tail, and feet                                             | 0.0775711   |
| atrophy of the thymus                                                                     | 0.0775711   |
| impaired cognitive abilities                                                              | 0.0775711   |
| dendrite and spine abnormalities                                                          | 0.0775711   |
| absence of fmrp protein                                                                   | 0.0775711   |
| cognition impairment                                                                      | 0.0775711   |
| paroxysmal dystonia                                                                       | 0.0775711   |
| hereditary or idiopathic dystonia                                                         | 0.0775711   |
| dystonia musculorum                                                                       | 0.0775711   |
| dystonic syndrome                                                                         | 0.0775711   |
| pre- and/or postsynaptic degeneration                                                     | 0.0775711   |
| dystonic movements                                                                        | 0.0775711   |
| paroxysmal dystonic choreoathetosis                                                       | 0.0775711   |
| variant                                                                                   | 0.0775711   |
| gerstmann-straussler-scheinker disease                                                    | 0.0775711   |
| femoral vein and carotid artery thrombi                                                   | 0.0775711   |
| x-chromosomal non-specific mental retardation                                             | 0.0775711   |
| genetic deficiency                                                                        | 0.0775711   |
| cic-deficient                                                                             | 0.0775711   |
| deficiencies in aminoacylase 1                                                            | 0.0775711   |
| acetaminophen overdose                                                                    | 0.0775711   |
| severe combined immunodeficiency albumin                                                  | 0.0775711   |
| rag-2 deficient                                                                           | 0.0775711   |
| rag-2-deficient                                                                           | 0.0775711   |
| hepatic deficiency of the pioneer transcription factor foxa restricts                     | 0.0775711   |
| foxa-deficient hbv                                                                        | 0.0775711   |
| hbv tolerance                                                                             | 0.0775711   |
| hepatitis b and delta virus infection                                                     | 0.0775711   |
| hbv chronically infected                                                                  | 0.0775711   |
| hbv/hdv co-infection                                                                      | 0.0775711   |
| mhv-3-induced hepatitis                                                                   | 0.0775711   |
| breast and colorectal cancer                                                              | 0.0775711   |
| cancer of the female reproductive tract                                                   | 0.0775711   |
| pediatric neurodegenerative disease                                                       | 0.0775711   |
| primary biliary cirrhosis                                                                 | 0.0775711   |
| acute seizures                                                                            | 0.0775635   |
| human immunodeficiency virus-type 1                                                       | 0.0775552   |
| hepatitis b (hbv                                                                          | 0.0775552   |
| karnofsky performance status                                                              | 0.0775373   |
| infiltrative tumor                                                                        | 0.0775373   |
| high grade gliomas                                                                        | 0.0775373   |
| hiv infected                                                                              | 0.0775373   |
| hiv-hbv co-                                                                               | 0.0775373   |
| acute, fulminant, or chronic hepatitis                                                    | 0.0775373   |
| nk depression                                                                             | 0.0775373   |
| hbv-dna hepatitis                                                                         | 0.0775373   |
| ch-asc                                                                                    | 0.0775373   |
| acute and chronic hepatitis b virus                                                       | 0.0775373   |
| hyperglobulinemia                                                                         | 0.0775373   |
| chronic active lupoid hepatitis                                                           | 0.0775373   |
| cerebrospinal fluid leak                                                                  | 0.0775373   |
| pediatric thalamic glial tumors                                                           | 0.0775373   |
| bithalamic involvement                                                                    | 0.0775373   |
| thalamic glial tumors                                                                     | 0.0775373   |
| bithalamic versus monothalamic tumors                                                     | 0.0775373   |
| anaplastic (grade 3) astrocytoma                                                          | 0.0775373   |
| primary gliomas tumor                                                                     | 0.0775373   |
| intracranial aneurysm                                                                     | 0.0775373   |
| neurovascular surgery                                                                     | 0.0775373   |
| cerebrovascular surgery                                                                   | 0.0775373   |
| aneurysm sac thrombosis                                                                   | 0.0775373   |
| neuropathologist                                                                          | 0.0775373   |
| extraparenchymal tumors                                                                   | 0.0775373   |
| supratentorial brain neoplasms                                                            | 0.0775373   |
| supratentorial brain neoplasm                                                             | 0.0775373   |
| anaplastic infiltrating gliomas                                                           | 0.0775373   |
| thalamic                                                                                  | 0.0775373   |
| pediatric thalamic tumors                                                                 | 0.0775373   |
| malignant pediatric intracranial tumors                                                   | 0.0775373   |
| chemical arachnoiditis                                                                    | 0.0775373   |
| neuroectodermal tumors of the pons                                                        | 0.0775373   |
| rhabdoid papillary meningioma                                                             | 0.0775373   |
| oligodendroglial phenotype gliomas                                                        | 0.0775373   |
| oligodendroglioma of the cord                                                             | 0.0775373   |
| oligodendrogliomas of the cord                                                            | 0.0775373   |
| oligodendrogliomas of the spinal cord                                                     | 0.0775373   |
| grade iii and iv malignant glioma                                                         | 0.0775373   |
| ordinary glioblastoma                                                                     | 0.0775373   |
| glioblastoma with oligodendroglial component                                              | 0.0775373   |
| simian-hiv (shiv) infection                                                               | 0.0775373   |
| hivdr                                                                                     | 0.0775373   |
| virologic failure                                                                         | 0.0775373   |
| shiv-c                                                                                    | 0.0775373   |
| hepatitis b virus (hbv) dna suppression                                                   | 0.0775373   |
| microvascular failure                                                                     | 0.0775373   |
| paediatric                                                                                | 0.0775373   |
| teratoid rhabdoid tumour                                                                  | 0.0775373   |
| cerebellar mutism syndrome                                                                | 0.0775373   |
| cerebellar tumours                                                                        | 0.0775373   |
| cryptic vascular malformation                                                             | 0.0775373   |
| oligodendroglial and oligodendroglioma-like neoplasms                                     | 0.0775373   |
| polyoma virus middle t                                                                    | 0.0775373   |
| grade-ii and -iii gliomas                                                                 | 0.0775373   |
| grade-ii gliomas                                                                          | 0.0775373   |
| systemic myeloproliferative disorders                                                     | 0.0775373   |
| paraventricular neoplasm                                                                  | 0.0775373   |
| ventricular neoplasms                                                                     | 0.0775373   |
| meningioms                                                                                | 0.0775373   |
| who grade ii-iii diffuse gliomas                                                          | 0.0775373   |
| iii diffuse gliomas                                                                       | 0.0775373   |
| who ii and iii gliomas                                                                    | 0.0775373   |
| antiedema                                                                                 | 0.0775373   |
| hemorrhages of gliomas                                                                    | 0.0775373   |
| microhemorrhages                                                                          | 0.0775373   |
| pilocytic astocytomas                                                                     | 0.0775373   |
| equivocal gliomas                                                                         | 0.0775373   |
| cell ependymomas                                                                          | 0.0775373   |
| frye-halloran brain tumor                                                                 | 0.0775373   |
| hereditary cancer syndromes                                                               | 0.0775373   |
| superficial thrombophlebitis                                                              | 0.0775373   |
| deep venous thrombosis of a lower extremity                                               | 0.0775373   |
| grade 3 or 4 astrocytoma                                                                  | 0.0775373   |
| pulmonary emboli                                                                          | 0.0775373   |
| grade ii-iii glioma                                                                       | 0.0775373   |
| fluorescence-prone tumors                                                                 | 0.0775373   |
| fgs                                                                                       | 0.0775373   |
| grade ii and i gliomas                                                                    | 0.0775373   |
| metastatic tumors of the brain                                                            | 0.0775373   |
| neurogenic neoplasms                                                                      | 0.0775373   |
| lower respiratory tract disease                                                           | 0.0775373   |
| viral, fungal, or bacterial pneumonia                                                     | 0.0775373   |
| non-aids                                                                                  | 0.0775373   |
| advanced aids                                                                             | 0.0775373   |
| metabolic and cardiovascular complications                                                | 0.0775373   |
| hepatitis b virus (hbv)-                                                                  | 0.077419    |
| who grade ii-iv gliomas                                                                   | 0.077381    |
| human papilloma virus                                                                     | 0.0773155   |
| plant disease                                                                             | 0.0771104   |
| flax rust                                                                                 | 0.0771104   |
| atp-iii metabolic syndrome                                                                | 0.0771089   |
| benign obese                                                                              | 0.0771089   |
| mast cell neoplasm                                                                        | 0.0771089   |
| hematological disorder                                                                    | 0.0771089   |
| mast cell malignancies                                                                    | 0.0771089   |
| mast cell leukemia                                                                        | 0.0771089   |
| pulmonary infections                                                                      | 0.0770218   |
| nodular heterotopia                                                                       | 0.0770218   |
| dilatation of the lateral ventricles                                                      | 0.0770218   |
| wm hyperintensities                                                                       | 0.0770218   |
| posterior subependymal nodular heterotopia                                                | 0.0770218   |
| vermis hypoplasia                                                                         | 0.0770218   |
| intrauterine infection                                                                    | 0.0769861   |
| acute nanbh                                                                               | 0.0769841   |
| metabolic defects                                                                         | 0.0769588   |
| 6-pyruvoyl-tetrahydropterin synthase deficiency                                           | 0.0769588   |
| tetrahydrobiopterin and monoamine neurotransmitter deficiency                             | 0.0769588   |
| ciliopathy                                                                                | 0.0769231   |
| wes                                                                                       | 0.0769231   |
| ataxia                                                                                    | 0.0769231   |
| sensorineural deafness                                                                    | 0.0769231   |
| east syndrome                                                                             | 0.0769231   |
| neuromyotonia                                                                             | 0.0769231   |
| electrolyte imbalance                                                                     | 0.0769231   |
| hepatitis b                                                                               | 0.0769231   |
| teratomas                                                                                 | 0.0769231   |
| systemic illnesses                                                                        | 0.0769231   |
| haemophilus influenzae meningitis                                                         | 0.0769231   |
| cholera                                                                                   | 0.0769231   |
| benign and malignant tumors                                                               | 0.0768428   |
| mtd                                                                                       | 0.0768428   |
| intracerebral gliomas                                                                     | 0.0768428   |
| intraventricular neurocytoma                                                              | 0.0768428   |
| trisomy                                                                                   | 0.0767762   |
| atypical and malignant meningiomas                                                        | 0.0767762   |
| wasting of the small muscles of the hands                                                 | 0.0766667   |
| diaphragmatic hernia                                                                      | 0.076647    |
| serum phosphorus abnormality                                                              | 0.0765047   |
| adefovir dipivoxil (adv) nephrotoxicity                                                   | 0.0765047   |
| glycosuria                                                                                | 0.0765047   |
| grade 3/4 phosphorus abnormalities                                                        | 0.0765047   |
| congenital lethal motor neuron disease                                                    | 0.0764947   |
| chronic lymphocytic leukaemia                                                             | 0.0764722   |
| low-grade gliomas                                                                         | 0.0764569   |
| blepharophimosis intellectual disability syndrome                                         | 0.0763674   |
| syndromic neurodevelopmental disorder                                                     | 0.0763674   |
| ncbrs                                                                                     | 0.0763674   |
| nicolaides-baraitser syndrome                                                             | 0.0763674   |
| triple-negative breast and serous ovarian cancers                                         | 0.0763426   |
| triple-negative breast cancers                                                            | 0.0763426   |
| nonfatal stroke                                                                           | 0.0763426   |
| colorectal tumor                                                                          | 0.0763426   |
| prosthetic heart valve thrombosis                                                         | 0.0763426   |
| retinal vein thrombosis                                                                   | 0.0763426   |
| angiogenesis-associated disorders                                                         | 0.0763426   |
| androgen-independent prostate cancer                                                      | 0.0763426   |
| orchiectomy                                                                               | 0.0763426   |
| ai prostate cancer                                                                        | 0.0763426   |
| castration                                                                                | 0.0763426   |
| vein thrombosis                                                                           | 0.0763426   |
| brain, liver, kidney, breast and lung cancer                                              | 0.0763426   |
| hip-replacement surgery                                                                   | 0.0763426   |
| knee and hip surgery                                                                      | 0.0763426   |
| fibrillary astrocytic tumors                                                              | 0.0763426   |
| anaplastic lesion                                                                         | 0.0763426   |
| subtotal tumor resection                                                                  | 0.0763426   |
| ewing's sarcoma                                                                           | 0.0763426   |
| primitive neuroectodermal tumours                                                         | 0.0763426   |
| brain-stem tumours                                                                        | 0.0763426   |
| apendymoma                                                                                | 0.0763426   |
| infratentorial ependymomas                                                                | 0.0763426   |
| infiltrative                                                                              | 0.0763426   |
| cystic brain lesions                                                                      | 0.0763426   |
| astrocytoma cysts                                                                         | 0.0763426   |
| malignant brain cancer                                                                    | 0.0763426   |
| pten-deleted glioblastomas                                                                | 0.0763426   |
| tcga glioblastomas                                                                        | 0.0763426   |
| pten-deleted tumors                                                                       | 0.0763426   |
| hepatitis b virus-associated diseases                                                     | 0.0763426   |
| hepatitis viruses b and c                                                                 | 0.0763426   |
| hepatitis-related hepatocarcinogenesis                                                    | 0.0763426   |
| embryonic neurogenesis                                                                    | 0.0763426   |
| metabolic syndromes                                                                       | 0.0763426   |
| acute decompensation                                                                      | 0.0763426   |
| decompensation of chronic hepatitis b related cirrhosis                                   | 0.0763426   |
| chb-related cirrhosis                                                                     | 0.0763426   |
| hepatitis c virus (hcv)-associated chronic liver disease                                  | 0.0763426   |
| hcv-associated cld                                                                        | 0.0763426   |
| hepatitis c virus-associated chronic liver disease                                        | 0.0763426   |
| hepatitis b immunisation                                                                  | 0.0763426   |
| virilis                                                                                   | 0.0763426   |
| cd22 deficiency                                                                           | 0.0763426   |
| marchantia polymorpha                                                                     | 0.0763426   |
| leptosporangiate                                                                          | 0.0763426   |
| tet2-deficiency                                                                           | 0.0762821   |
| hbeag-positive chronic hepatitis                                                          | 0.0762285   |
| chronic hbsag-positive hepatitis                                                          | 0.0762285   |
| hbv/hcv dual infection                                                                    | 0.0762285   |
| breast adenocarcinoma                                                                     | 0.0761456   |
| developmental milestones                                                                  | 0.0761234   |
| asymmetry of the face, upper and lower extremities                                        | 0.0761234   |
| growth hormone (gh) deficiency                                                            | 0.0761234   |
| hbv-associated hepatocellular carcinoma                                                   | 0.0759949   |
| raft valley fever virus                                                                   | 0.0759615   |
| hhs                                                                                       | 0.0759615   |
| rtel1-hhs cellular defects                                                                | 0.0759615   |
| motor neuron and locomotion defects                                                       | 0.0759259   |
| esophageal squamous cell carcinoma                                                        | 0.0759168   |
| escc                                                                                      | 0.0759168   |
| aneuploid tumors                                                                          | 0.0759168   |
| oligodendroglioma iii                                                                     | 0.0759168   |
| parenchymal tumors                                                                        | 0.0759168   |
| acoustic neuromas                                                                         | 0.0759168   |
| intraventricular oligodendroglioma                                                        | 0.0759168   |
| internal hydrocephalus                                                                    | 0.0759168   |
| pediatric anaplastic oligodendroglioma                                                    | 0.0759168   |
| spinal cord symptoms                                                                      | 0.0759168   |
| hematotoxicity                                                                            | 0.0759168   |
| system tumors                                                                             | 0.0759168   |
| skin fragility                                                                            | 0.0759168   |
| vitamin d insufficiency                                                                   | 0.0758881   |
| helical filament-associated lesions                                                       | 0.075841    |
| nfi dystrophic neurites                                                                   | 0.075841    |
| ad-type dementia                                                                          | 0.075841    |
| alzheimer's disease lesions                                                               | 0.075841    |
| parkinson's disease dementia                                                              | 0.075841    |
| end-stage dementia                                                                        | 0.075841    |
| ad lesions                                                                                | 0.075841    |
| ad dementia                                                                               | 0.075841    |
| nonalcoholic fatty liver (fl) disease                                                     | 0.0757764   |
| triglyceride disorder                                                                     | 0.0757764   |
| blood pressure disorder                                                                   | 0.0757764   |
| triglyceride and blood glucose disorders                                                  | 0.0757764   |
| impaired glucose transport                                                                | 0.0757576   |
| glut1 deficiency syndrome 1                                                               | 0.0757576   |
| glucose tolerance                                                                         | 0.0757064   |
| bifid uvula                                                                               | 0.075648    |
| chronic non-specific gastroenteritis                                                      | 0.075648    |
| congenital hypoparathyroidism                                                             | 0.075648    |
| frontal prominence                                                                        | 0.075648    |
| floppy ears                                                                               | 0.075648    |
| mixed gliomas of the central nervous system                                               | 0.075641    |
| tp53 tumor                                                                                | 0.075641    |
| diffuse lower-grade gliomas                                                               | 0.0756143   |
| perifocal edema                                                                           | 0.0756132   |
| brain abnormality                                                                         | 0.0755162   |
| skeletal dysplasias                                                                       | 0.0754915   |
| neuro-oncology                                                                            | 0.0753722   |
| grade ii astrocytoma                                                                      | 0.0753722   |
| pick bodies                                                                               | 0.0753501   |
| neurofibrillary tangles and senile plaque neurites                                        | 0.0753501   |
| pick's                                                                                    | 0.0753501   |
| neurofibrillary lesions                                                                   | 0.0753501   |
| tangle-associated disorders                                                               | 0.0753501   |
| parkinsonism-dementia                                                                     | 0.0753501   |
| neuronal death                                                                            | 0.0753501   |
| chronic liver inflammation                                                                | 0.0753026   |
| hbv-related chronic liver disease                                                         | 0.0753026   |
| e-chb                                                                                     | 0.0753026   |
| intrahepatic tumor                                                                        | 0.0753026   |
| metabolic dysregulation                                                                   | 0.0753026   |
| aicardi syndrome                                                                          | 0.0753026   |
| liver atrophy                                                                             | 0.0753026   |
| persistent hepatitis                                                                      | 0.0753026   |
| chronic active type b hepatitis                                                           | 0.0753026   |
| cah-b                                                                                     | 0.0753026   |
| liver deterioration                                                                       | 0.0753026   |
| degeneration of hepatocytes                                                               | 0.0753026   |
| chronic hepatitis d virus                                                                 | 0.0753026   |
| hbv-related glomerulonephritis                                                            | 0.0753026   |
| hepatotropic viral infections                                                             | 0.0753026   |
| alpha 1-antitrypsin deficiency                                                            | 0.0753026   |
| post-transfusion hepatitis                                                                | 0.0753026   |
| astrocytic brain malignancies                                                             | 0.0752673   |
| bca                                                                                       | 0.07526     |
| cavitary pneumonia                                                                        | 0.0751288   |
| cavitation                                                                                | 0.0751288   |
| pulmonary necrosis                                                                        | 0.0751288   |
| pulmonary cavitation                                                                      | 0.0751288   |
| cld                                                                                       | 0.0751201   |
| polymorphic gliomas                                                                       | 0.0751141   |
| congenital hypotrichosis                                                                  | 0.0751141   |
| rat-tail syndrome                                                                         | 0.0751141   |
| hair                                                                                      | 0.0751141   |
| pigmentation-associated hypotrichosis                                                     | 0.0751141   |
| bulbectomy                                                                                | 0.0751141   |
| neurodegeneration of specific brain structures                                            | 0.0751141   |
| olfactory bulbectomized                                                                   | 0.0751141   |
| olfactory bulbectomy                                                                      | 0.0751141   |
| amygdaloid dysfunction                                                                    | 0.0751141   |
| dialysis disequilibrium syndrome                                                          | 0.0751141   |
| neuroapoptosis                                                                            | 0.0751141   |
| neurotoxic syndrome                                                                       | 0.0751141   |
| emotional/social disturbances                                                             | 0.0751141   |
| pulmonary thrombosis                                                                      | 0.0751141   |
| acute pulmonary thrombosis                                                                | 0.0751141   |
| macrotumours                                                                              | 0.0751141   |
| intracranial neoplams                                                                     | 0.0751141   |
| tumour nodules                                                                            | 0.0751141   |
| polymorphous gliomas                                                                      | 0.0751141   |
| oligodendroastrocytomas and oligodendrogliomas                                            | 0.0751141   |
| oligodendric microgliomas                                                                 | 0.0751141   |
| glial microtumors of the rat brain                                                        | 0.0751141   |
| glial microtumours                                                                        | 0.0751141   |
| glioblastoma multiforme (gbm) tumors                                                      | 0.0751141   |
| 9l tumor                                                                                  | 0.0751141   |
| t-lymphocyte-deficient                                                                    | 0.0751141   |
| chronic schizophrenia                                                                     | 0.0751141   |
| podocyte injury                                                                           | 0.0751141   |
| podocyte leakage                                                                          | 0.0751141   |
| poa-ah                                                                                    | 0.0751141   |
| familial srs                                                                              | 0.0751141   |
| mitochondrial disease                                                                     | 0.0751141   |
| rc defects                                                                                | 0.0751141   |
| encephalomyopathy                                                                         | 0.0751141   |
| respiratory chain (rc) defect                                                             | 0.0751141   |
| dehydrogenase (pdh) deficiency                                                            | 0.0751141   |
| pdh deficiency                                                                            | 0.0751141   |
| nonspecific mitochondrial disease                                                         | 0.0751141   |
| primary and                                                                               | 0.0751141   |
| lumbar disk herniations                                                                   | 0.0751141   |
| dmn                                                                                       | 0.0751141   |
| nontumor disorders of the central nervous system                                          | 0.0751141   |
| b type hbv                                                                                | 0.0751141   |
| c type hbv infection                                                                      | 0.0751141   |
| hbv genotype b infection                                                                  | 0.0751141   |
